	author	intl_frac	weight	pub_date_avg	books	wordcount	ethnicity	corpus
60	Milne, A. A.	1.0	0.1475431534076506	1928.0	1	35514	White	Prominent
93	Weyman, Stanley J.	0.9867549668874173	0.9765378166620213	1893.0	1	173620	White	Prominent
31	Graves, Robert	0.9385515420071142	5.0469036533137155	1934.0	2	409424	White	Prominent
30	Grahame, Kenneth	0.9365079365079365	0.3352048387975615	1908.0	1	70343	White	Prominent
66	Pater, Walter	0.9354899327905769	2.807490192864201	1886.0	2	184554	White	Prominent
45	Jefferies, Richard	0.9336283185840708	0.6146040417354581	1882.0	1	137627	White	Prominent
38	Hope, Anthony	0.9206349206349207	0.7143190286292386	1894.0	1	66019	White	Prominent
98	Yeats, William Butler	0.8947387014916636	1.9856806942776228	1895.0	2	54058	White	Prominent
78	Schreiner, Olive	0.8711656441717792	0.47252164044635964	1883.0	1	129109	White	Prominent
47	Joyce, James	0.8640600275941421	3.7939834354986632	1922.75	4	765878	White	Prominent
75	Rolfe, Frederick	0.858882455062904	6.824289648163591	1908.4	5	556712	White	Prominent
37	Hartley, Leslie Poles	0.8534534742472316	1.1837968997557247	1925.0	2	78076	White	Prominent
82	Somerville, Edith	0.8461538461538458	0.46972072043788154	1899.0	1	165735	White	Prominent
17	Christie, Agatha	0.8453973964930015	1.2477128117675973	1930.0	2	166406	White	Prominent
51	Lewis, C. S.	0.8190069991071303	0.42283407172374093	1935.5	2	147402	White	Prominent
61	Moore, George	0.8141752747002187	3.17093785195966	1905.0	2	367171	White	Prominent
101	du Maurier, George	0.8093220338983045	1.4682079536911101	1894.0	1	60161	White	Prominent
16	Childers, Erskine	0.8030303030303023	1.6664736187386064	1903.0	1	133407	White	Prominent
63	Myers, L. H.	0.801143615093466	4.0355317397332096	1930.5	6	683667	White	Prominent
74	Rider Haggard, H.	0.7994962114126422	1.7626189997192274	1886.0	2	278758	White	Prominent
20	Conrad, Joseph	0.7891063428554621	20.414253971701655	1910.3333333333333	24	2659519	White	Prominent
42	Isherwood, Christopher	0.788535492002766	3.417387863792533	1935.3333333333333	3	235132	White	Prominent
48	Kipling, Rudyard	0.7873427397893831	17.017410749162845	1897.6	10	1020993	White	Prominent
12	Buchan, John	0.7800358149280879	4.5985082285504815	1913.6666666666667	3	253201	White	Prominent
52	Lewis, Wyndham	0.779181861448304	4.114015315452947	1928.6666666666667	6	906827	White	Prominent
18	Compton-Burnett, Ivy	0.7722692795451068	2.3385051882478596	1930.0	8	777546	White	Prominent
24	Firbank, [Arthur Annesley] Ronald	0.7689462489471205	12.044698138558147	1920.0	10	294773	White	Prominent
23	Douglas, Norman [George]	0.7681011967753413	1.9236124486778396	1916.25	4	349347	White	Prominent
53	MacDonald, George	0.7599999999999999	0.13900953224900886	1883.0	1	67311	White	Prominent
57	Mason, A. E. W.	0.7415384615384619	1.71837285011859	1902.0	1	141575	White	Prominent
56	Mansfield, Katherine	0.7362439335164456	2.572409661804258	1921.6666666666667	6	378856	White	Prominent
68	Powell, Anthony	0.7181208053691277	0.8955668688978602	1932.0	1	62270	White	Prominent
49	Lawrence, D. H.	0.714842036759602	16.360308596080703	1921.7368421052631	19	2621119	White	Prominent
92	West, Rebecca	0.7033128143689185	3.707046297704127	1928.0	5	609336	White	Prominent
58	Maugham, William Somerset	0.702291413015335	22.978122506517266	1919.4545454545455	22	2277960	White	Prominent
62	Munro, Hector Hugh	0.6952543499519686	6.866431866337325	1910.6666666666667	6	321293	White	Prominent
54	Macaulay, Rose	0.6885188495035076	22.939923209219348	1923.1875	16	1579123	White	Prominent
6	Beckett, Samuel	0.6811725201414656	1.5166196694835838	1935.5	2	133049	White	Prominent
10	Bentley, E. C.	0.6746987951807231	1.075651332261334	1913.0	1	86640	White	Prominent
44	James, Henry	0.6739864855802367	10.917223440395114	1897.8	15	2284521	White	Prominent
76	Sassoon, Siegfried	0.6715469349430423	3.1831366891766333	1933.0	2	155483	White	Prominent
41	Huxley, Aldous	0.6588576060132709	11.420104740611425	1926.6923076923076	13	1329804	White	Prominent
35	Hall, Radclyffe	0.6527050610820234	1.0960879628838038	1928.0	1	195659	White	Prominent
11	Bowen, Elizabeth	0.6507625079632109	8.85767382775506	1930.7777777777778	9	804859	White	Prominent
1	Allen, Grant	0.6465229524950691	8.528761071477943	1897.2	5	414878	White	Prominent
0	Aldington, Richard	0.6432301681191223	11.384096145659415	1933.6666666666667	9	1128464	White	Prominent
80	Sinclair, May	0.6258503995100022	1.1266273203696904	1920.5	2	170662	White	Prominent
25	Ford, Ford Madox	0.625470963908293	40.387547958516286	1917.0	29	3355140	White	Prominent
95	Wilde, Oscar	0.6254313304258456	2.988656874054246	1890.0	3	233308	White	Prominent
79	Shorthouse, Joseph Henry	0.6230269266480948	1.8848145855972795	1881.0	1	213864	White	Prominent
81	Smith, Stevie	0.620394364078439	3.9471458150342715	1937.0	2	146889	White	Prominent
64	Nesbit, Edith	0.6153846153846154	0.2605254189928667	1906.0	1	74704	White	Prominent
26	Forster, E. M.	0.6091485471546233	8.719245614726747	1913.375	8	754279	White	Prominent
100	du Maurier, Daphne	0.5963636363636358	0.5337771392575823	1938.0	1	192825	White	Prominent
33	Greene, Graham	0.5934193602293699	7.397907418820643	1935.375	8	758881	White	Prominent
91	Wells, H. G.	0.5853948567580227	65.58470025115409	1916.290909090909	55	5514792	White	Prominent
65	Orwell, George	0.5799177156869652	3.410724580861329	1936.0	4	437617	White	Prominent
27	Galsworthy, John	0.5721144297598372	23.971288944181527	1916.5	28	3031741	White	Prominent
89	Waugh, Evelyn	0.5586100435462215	7.521439344175133	1933.0	6	465478	White	Prominent
39	Hornung, E. W.	0.5583038869257972	0.7956594362871044	1899.0	1	133122	White	Prominent
96	Williams, Charles	0.5570108993136762	2.4994835528750627	1931.3333333333333	3	269757	White	Prominent
83	Stevenson, Robert Louis	0.5561021180865865	12.618226447563218	1887.7	10	909088	White	Prominent
86	Walpole, Hugh	0.5517241379310344	0.41944467771562083	1911.0	1	77631	White	Prominent
19	Conan Doyle, Arthur	0.5450436058982847	9.84739898122366	1896.857142857143	7	967086	White	Prominent
90	Webb, Mary	0.5424847907159591	0.4503459349856671	1920.5	2	228558	White	Prominent
15	Chesterton, G. K.	0.5408146673675205	17.474227754718704	1919.5294117647059	17	1348440	White	Prominent
72	Rhys, Jean	0.5382167604945572	3.160964782564672	1934.6666666666667	3	173364	White	Prominent
21	Delafield, E. M.	0.5375722543352602	1.1262357323884065	1930.0	1	57492	White	Prominent
99	de la Mare, Walter	0.5370370370370385	0.33480133435328907	1921.0	1	181100	White	Prominent
88	Waugh, Alec	0.5313653136531364	0.7627348291270057	1917.0	1	132980	White	Prominent
8	Bennett, Arnold	0.5310628825448352	45.0542212289916	1912.825	40	4292264	White	Prominent
70	Powys, Theodore Francis	0.5128085149228896	5.3881459298728185	1928.5294117647059	17	1037683	White	Prominent
13	Burnett, Frances Hodgston	0.508603880998416	1.2665883119024366	1898.5	2	171937	White	Prominent
50	Lehmann, Rosamond	0.5014861443794337	1.9288514034835473	1931.25	4	452758	White	Prominent
4	Bagnold, Enid	0.4935897435897435	0.6495585869072203	1935.0	1	89887	White	Prominent
69	Powys, John Cowper	0.48896223985751075	6.518313884249501	1929.3333333333333	9	2518278	White	Prominent
2	Anstey, F.	0.48571428571428643	0.2215992637158417	1882.0	1	118228	White	Prominent
85	Trollope, Anthony	0.4840384324635998	2.8544125010615957	1881.5	2	519488	White	Prominent
36	Hardy, Thomas	0.4818036432430798	9.73972153505937	1888.3636363636363	11	1676538	White	Prominent
43	Jacobs, W. W.	0.4759825327510919	0.8328371319860807	1901.0	1	102912	White	Prominent
73	Richardson, Dorothy	0.4673226369618294	8.84709178769727	1921.3	10	702486	White	Prominent
94	White, T. H.	0.46268656716417833	0.2288453273063107	1939.0	1	109578	White	Prominent
84	Thomas, Edward	0.44660194174757295	1.4109621175564657	1913.0	1	81966	White	Prominent
71	Priestley, J. B.	0.445131680247307	1.7987381764345556	1929.5	2	542737	White	Prominent
59	Meredith, George	0.4380952380952384	0.8443332232422864	1885.0	1	186177	White	Prominent
77	Sayers, Dorothy	0.4129695022958588	1.2674148228349336	1933.5	2	274368	White	Prominent
14	Carroll, Lewis	0.4117647058823526	0.3700906239541688	1889.0	1	85961	White	Prominent
55	Mackenzie, Compton	0.40353089533417885	1.2806293389817913	1913.0	1	231761	White	Prominent
28	Garnett, David	0.4	0.33642076098274337	1922.0	1	27813	White	Prominent
32	Green, Henry	0.398298096481044	1.095455325687871	1932.5	2	156592	White	Prominent
7	Beerbohm, Max	0.39814862055407474	4.575646845902887	1910.2	5	233577	White	Prominent
22	Disraeli, Benjamin	0.39779559118236585	1.8433089156505202	1880.0	1	202639	White	Prominent
34	Grossmith, George	0.3919999999999997	0.83945225590442	1894.0	1	55732	White	Prominent
3	Ashford, Daisy	0.3888888888888886	0.8391289593514834	1919.0	1	16057	White	Prominent
29	Gissing, George	0.37776189929160253	2.7668841870408225	1889.0	3	595031	White	Prominent
40	Household, Geoffrey	0.37185929648241345	1.076248340799605	1939.0	1	69204	White	Prominent
97	Woolf, Virginia	0.3689101812191414	7.937100638488507	1924.4	10	1205859	White	Prominent
67	Potter, Beatrix	0.33333333333333326	0.34924555988353484	1902.0	1	3215	White	Prominent
9	Benson, E. F.	0.32149379667117395	2.337306813688798	1923.5	2	208292	White	Prominent
46	Jerome, Jerome K.	0.273504273504274	1.0927595769220466	1889.0	1	80146	White	Prominent
87	Warner, Sylvia	0.2708333333333335	0.8973173967538607	1926.0	1	60063	White	Prominent
5	Barrie, J. M.	0.18967501869207626	1.1155935140920363	1897.0	2	100737	White	Prominent
