	htid	spec_nongb_subcountry	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
128	mdp.39015003675322	0.591954022988507	0.878902809354693	Ford, Ford Madox	Ladies Whose Bright Eyes (heavily revised)	1935	Fiction-Novel	Male	White	Britain	117872
101	mdp.39015000606981	0.59	0.619598709776345	Orwell, George	Coming up for Air	1939	Fiction-Novel	Male	White	South Asia	96093
276	mdp.39015065539754	0.5897435897435898	0.3865982141955936	Warner, Sylvia	Lolly Willowes	1926	Fiction-Novel	Female	White	Britain	60063
316	mdp.49015001344812	0.5890410958904108	0.4963404684077858	Greene, Graham	The Confidential Agent	1939	Fiction-Novel	Male	White	Britain	87568
368	pst.000032226942	0.5887096774193546	1.5534335423765422	Maugham, William Somerset	The Narrow Corner	1932	Fiction-Novel	Male	White	Britain	95052
258	mdp.39015053230531	0.5886524822695028	0.8683837364145375	Wells, H. G.	The Soul of a Bishop	1917	Fiction-Novel	Male	White	Britain	96674
434	uc1.32106002020458	0.5853658536585367	1.0321788801522485	Waugh, Evelyn	Mr. Loveday's Little Outing, and Other Sad Stories	1936	Fiction-Stories	Male	White	Britain	47300
259	mdp.39015053611367	0.5850815850815857	1.9029162085983344	Wells, H. G.	The Research Magnificent	1915	Fiction-Novel	Male	White	Britain	134227
476	uc1.b3759970	0.584795321637427	1.0209978036031648	Wells, H. G.	Meanwhile: The Picture of a Lady	1927	Fiction-Novel	Male	White	Britain	99718
42	hvd.32044072024789	0.5833333333333329	0.48030734664792873	Huxley, Aldous	Limbo	1920	Fiction-Stories	Male	White	Britain	59501
369	pst.000032564228	0.5822784810126577	0.6357575701049587	Burnett, Frances Hodgston	Little Lord Fauntleroy	1886	Fiction-Novel	Female	White	Britain	73984
213	mdp.39015030719564	0.5806451612903224	1.0084824988558179	Wells, H. G.	The Bulpington of Blup	1932	Fiction-Novel	Male	White	Britain	146415
329	nyp.33433074946256	0.5802469135802469	1.296857443655079	Allen, Grant	Hilda Wade	1900	Fiction-Novel	Male	White	Other	111562
168	mdp.39015008988373	0.5802469135802469	1.131922030770689	Conrad, Joseph	Tales of Hearsay	1925	Fiction-Stories	Male	White	Europe	42606
379	pst.000051483654	0.5785714285714292	0.7682605978539089	Maugham, William Somerset	Theatre: A Novel	1937	Fiction-Novel	Male	White	Britain	108498
308	mdp.49015000993858	0.5783132530120497	1.4255171305316394	Maugham, William Somerset	Christmas Holiday	1939	Fiction-Novel	Male	White	Britain	103999
3	aeu.ark:/13960/t6d237w7x	0.5776397515527942	1.5916637459169247	Munro, Hector Hugh	When William Came	1913	Fiction-Novel	Male	White	South Asia	60225
11	coo.31924013536119	0.576190476190478	1.222879655715054	Bennett, Arnold	The Sinews of War: A Romance of London and the Sea	1906	Fiction-Novel	Male	White	Britain	102244
205	mdp.39015019950834	0.5750000000000003	0.922228916024446	Munro, Hector Hugh	Reginald in Russia, and Other Sketches	1910	Fiction-Stories	Male	White	South Asia	25824
251	mdp.39015048709714	0.574712643678162	0.2860243841641538	de la Mare, Walter	Memoirs of a Midget	1921	Fiction-Novel	Male	White	Britain	181100
188	mdp.39015013252823	0.5740740740740741	0.5613365696279538	Mansfield, Katherine	The Doves' Nest, and Other Stories	1923	Fiction-Stories	Female	White	Australasia	57276
138	mdp.39015003681916	0.5714285714285713	0.304926610864624	Galsworthy, John	A Motley	1910	Fiction-Stories	Male	White	Britain	54672
378	pst.000046763440	0.5704225352112676	1.7842253945831885	Kipling, Rudyard	Just So Stories	1902	Fiction-Stories	Male	White	South Asia	47385
509	uc1.b4093278	0.5700934579439276	0.9966183648426356	Galsworthy, John	Maid in Waiting	1931	Fiction-Novel	Male	White	Britain	127846
346	pst.000005348527	0.57	0.7355137039189888	Conrad, Joseph	The Inheritors: An Extravagant Story	1901	Fiction-Novel	Male	White	Europe	80949
359	pst.000026087894	0.5676567656765676	2.4742630763135116	Wells, H. G.	The World Set Free	1914	Fiction-Novel	Male	White	Britain	72912
372	pst.000033048772	0.5671641791044769	0.19510227380220724	Lawrence, D. H.	Sons and Lovers	1913	Fiction-Novel	Male	White	Britain	204463
386	uc1.$b106072	0.5671641791044761	1.0171525226212306	Lewis, Wyndham	The Wild Body: A Soldier of Humour and Other Stories	1927	Fiction-Stories	Male	White	Other	78437
210	mdp.39015028687088	0.5652173913043476	0.5275950271913011	Wells, H. G.	The Stolen Bacillus, and Other Incidents	1895	Fiction-Stories	Male	White	Britain	51911
287	mdp.39015078801274	0.5637860082304472	1.9299803257415007	Kipling, Rudyard	Stalky & Co	1899	Fiction-Stories	Male	White	South Asia	149929
137	mdp.39015003681742	0.5627906976744191	1.1857411975125012	Galsworthy, John	The Silver Spoon	1926	Fiction-Novel	Male	White	Britain	107957
506	uc1.b4088177	0.5625000000000001	0.2550400463419929	Nesbit, Edith	The Railway Children	1906	Fiction-Novel	Female	White	Britain	74704
355	pst.000020900496	0.5612244897959183	0.5846056111951702	Wells, H. G.	In the Days of the Comet	1906	Fiction-Novel	Male	White	Britain	99808
21	coo.31924014495349	0.559999999999999	1.21183560019821	Huxley, Aldous	Two or Three Graces, and Other Stories	1926	Fiction-Stories	Male	White	Britain	73697
551	uc2.ark:/13960/t9h41nk9h	0.5588235294117647	2.928028870281948	Macaulay, Rose	Mystery at Geneva	1922	Fiction-Novel	Female	White	Britain	55309
73	inu.32000004078566	0.557471264367814	1.0246477157068496	Conrad, Joseph	A Set of Six	1908	Fiction-Stories	Male	White	Europe	101106
36	hvd.32044010252005	0.5555555555555544	1.1386084088369495	Buchan, John	The Thirty-Nine steps	1915	Fiction-Novel	Male	White	Britain	47062
414	uc1.$b787246	0.554744525547446	1.3404858731536131	Myers, L. H.	Strange Glory	1936	Fiction-Novel	Male	White	Britain	60850
130	mdp.39015003676882	0.5526315789473684	0.6421131701729683	Forster, E. M.	The Eternal Moment and Other Stories	1928	Fiction-Stories	Male	White	Britain	35235
8	coo.31924013216811	0.5512820512820515	0.6627539827386092	Richardson, Dorothy	Pointed Roofs	1915	Fiction-Novel	Female	White	Britain	70072
12	coo.31924013536150	0.5511363636363638	1.1527795505068967	Bennett, Arnold	The Statue	1908	Fiction-Novel	Male	White	Britain	90901
445	uc1.32106011340103	0.55	0.47285527279363876	James, Henry	What Maisie Knew	1897	Fiction-Novel	Male	White	Us	125914
45	hvd.hn3mzf	0.5499999999999992	0.7046151430469484	Richardson, Dorothy	Interim	1919	Fiction-Novel	Female	White	Britain	67599
467	uc1.b3346919	0.549549549549548	1.3039173650440976	Ford, Ford Madox	"The ""Half Moon"": A Romance of the Old World and the New"	1909	Fiction-Novel	Male	White	Britain	101369
477	uc1.b3759971	0.5494505494505495	0.5761072233254985	Wells, H. G.	Men Like Gods	1923	Fiction-Novel	Male	White	Britain	94046
141	mdp.39015004750959	0.5481481481481468	1.2006719557395258	Woolf, Virginia	Jacob's Room	1922	Fiction-Novel	Female	White	Britain	66944
270	mdp.39015060668574	0.5480769230769225	0.8071730055046716	Wells, H. G.	The Invisible Man	1897	Fiction-Novel	Male	White	Britain	76713
193	mdp.39015014579091	0.5476190476190476	1.0847831643148562	Aldington, Richard	Rejected Guest	1939	Fiction-Novel	Male	White	Britain	115260
174	mdp.39015009375976	0.5451505016722439	1.1722147224394142	Aldington, Richard	Death of a Hero	1929	Fiction-Novel	Male	White	Britain	151868
150	mdp.39015005641033	0.5447761194029858	0.8497884903535308	Maugham, William Somerset	Six Stories Written in the First Person Singular	1931	Fiction-Stories	Male	White	Britain	93885
114	mdp.39015002578469	0.5436893203883489	0.7995993452388617	Wilde, Oscar	Lord Arthur Savile's Crime and Other Stories	1891	Fiction-Stories	Male	White	Ireland	76695
146	mdp.39015005100105	0.5412844036697245	0.6306127342992732	Jacobs, W. W.	Light Freights	1901	Fiction-Stories	Male	White	Britain	102912
56	inu.30000035055387	0.5403225806451614	0.329006865190365	Lawrence, D. H.	The Rainbow	1915	Fiction-Novel	Male	White	Britain	224398
60	inu.30000048970531	0.538834951456311	2.0704707040445105	Sassoon, Siegfried	Sherston's Progress	1936	Fiction-Novel	Male	White	Britain	59238
237	mdp.39015037058669	0.5370370370370371	2.546152264559212	Pater, Walter	Imaginary Portraits	1887	Fiction-Stories	Male	White	Britain	37882
520	uc1.b4410171	0.5368852459016394	1.5219893046404254	Conrad, Joseph	Suspense: A Napoleonic Novel	1925	Fiction-Novel	Male	White	Europe	95451
508	uc1.b4091384	0.5364583333333321	0.6716001112229597	Lawrence, D. H.	The Lost Girl	1920	Fiction-Novel	Male	White	Britain	170213
328	nyp.33433074942974	0.5333333333333333	0.37963293614370835	Conrad, Joseph	The Shadow Line	1917	Fiction-Novel	Male	White	Europe	47050
560	umn.31951002044019w	0.5286624203821657	1.528865820727581	Forster, E. M.	Where Angels Fear to Tread	1905	Fiction-Novel	Male	White	Britain	61141
217	mdp.39015030719648	0.5251396648044679	1.3767599390929297	Wells, H. G.	The Secret Places of the Heart	1922	Fiction-Novel	Male	White	Britain	77410
72	inu.32000002887836	0.525	1.6517131878571505	Wells, H. G.	The World of William Clissold	1926	Fiction-Novel	Male	White	Britain	115350
196	mdp.39015016414727	0.5245901639344263	0.6959100630268522	Maugham, William Somerset	Ah, King: Six Stories	1933	Fiction-Stories	Male	White	Britain	104378
271	mdp.39015060668582	0.5241379310344838	0.8920775118508762	Wells, H. G.	The First Men in the Moon	1901	Fiction-Novel	Male	White	Britain	96776
89	inu.39000001740583	0.521367521367521	3.023391127734937	Wells, H. G.	The War in the Air, and Particularly how Mr. Bert Smallways Fared While it Lasted	1908	Fiction-Novel	Male	White	Britain	115203
124	mdp.39015002715129	0.5205479452054805	0.5738064338385245	Richardson, Dorothy	Revolving Lights	1923	Fiction-Novel	Female	White	Britain	75746
324	nyp.33433074892724	0.5181818181818172	1.0884118907216227	Maugham, William Somerset	Orientations	1899	Fiction-Stories	Male	White	Britain	60173
401	uc1.$b244748	0.5174262734584473	2.7603798316178016	Macaulay, Rose	I Would Be Private	1937	Fiction-Novel	Female	White	Britain	80453
88	inu.39000001588149	0.5161290322580645	0.963114205476251	Delafield, E. M.	Diary of a Provincial Lady	1930	Fiction-Novel	Female	White	Britain	57492
407	uc1.$b322675	0.5151515151515151	0.34366302753301664	Bennett, Arnold	Lilian 	1922	Fiction-Novel	Male	White	Britain	57172
31	coo1.ark:/13960/t9v12m24d	0.5136986301369849	0.6423151925980612	Chesterton, G. K.	The Man Who Knew Too Much, and Other Stories	1922	Fiction-Stories	Male	White	Britain	135334
163	mdp.39015008337951	0.5111111111111112	0.2036716215247835	Lehmann, Rosamond	Dusty Answer	1927	Fiction-Novel	Female	White	Britain	131548
64	inu.30000102875915	0.505681818181817	0.9295969298791528	Stevenson, Robert Louis	Kidnapped	1886	Fiction-Novel	Male	White	Britain	112725
98	inu.39000004633983	0.504424778761062	0.7147323085130268	Chesterton, G. K.	The Ball and the Cross	1909	Fiction-Novel	Male	White	Britain	94132
567	uva.x000427943	0.5000000000000014	0.9548814886134599	Douglas, Norman [George]	South Wind	1917	Fiction-Novel	Male	White	Europe	159622
420	uc1.31822038204657	0.5	1.1535391412393243	Firbank, [Arthur Annesley] Ronald	"""Odette d'Antrevernes"" and ""A Study in Temperament"""	1905	Fiction-Stories	Male	White	Britain	7226
38	hvd.32044018923557	0.49999999999999994	0.683326577072386	Huxley, Aldous	Chrome Yellow	1921	Fiction-Novel	Male	White	Britain	69705
265	mdp.39015056229209	0.49999999999999994	0.3762853843714049	Wells, H. G.	The Time Machine	1895	Fiction-Novel	Male	White	Britain	44304
552	uc2.ark:/13960/t9s17xn03	0.4999999999999999	0.10399136193889683	Webb, Mary	Gone to Earth	1917	Fiction-Novel	Female	White	Britain	103057
209	mdp.39015025040745	0.49484536082474245	2.921142054928949	Buchan, John	Greenmantle	1916	Fiction-Novel	Male	White	Britain	118624
102	mdp.39015000610488	0.4901960784313729	0.15108814726933448	Woolf, Virginia	Night and Day	1919	Fiction-Novel	Female	White	Britain	200975
544	uc2.ark:/13960/t71v5hr9z	0.48888888888888876	0.44677034939998206	Galsworthy, John	Saint's Progress	1919	Fiction-Novel	Male	White	Britain	119939
549	uc2.ark:/13960/t9959fp9w	0.48076923076923167	0.6472249978706163	Richardson, Dorothy	Deadlock	1921	Fiction-Novel	Female	White	Britain	95671
17	coo.31924013599190	0.4807692307692296	0.9218842858715885	Conrad, Joseph	Under Western Eyes	1911	Fiction-Novel	Male	White	Britain	134335
263	mdp.39015055469319	0.47978436657681894	1.7874690000305682	Orwell, George	Burmese Days	1934	Fiction-Novel	Male	White	South Asia	123577
248	mdp.39015046801612	0.47560975609756195	0.6841752411216709	Huxley, Aldous	Crome Yellow	1921	Fiction-Novel	Male	White	Britain	71359
239	mdp.39015039039691	0.475	0.26406661116129987	Christie, Agatha	The Murder of Roger Ackroyd	1926	Fiction-Novel	Female	White	Britain	90188
343	osu.32435061047858	0.4742268041237124	0.6582955381106113	Conan Doyle, Arthur	The Lost World	1912	Fiction-Novel	Male	White	Britain	87731
177	mdp.39015010594201	0.4715909090909092	0.6322672574931494	Somerville, Edith	Some Experiences of an Irish R. M. 	1899	Fiction-Novel	Female	White	Ireland	165735
179	mdp.39015011040246	0.47133757961782957	1.856738488195425	Wells, H. G.	Joan and Peter: The Story of an Education	1918	Fiction-Novel	Male	White	Britain	251722
400	uc1.$b244736	0.4692307692307692	0.7656928601794492	Macaulay, Rose	Keeping Up Appearances	1928	Fiction-Novel	Female	White	Britain	101086
458	uc1.32106016823210	0.4684684684684682	0.46392474597997646	Forster, E. M.	Maurice	1914	Fiction-Novel	Male	White	Britain	142455
283	mdp.39015066862098	0.4679089026915131	1.5939045193937478	Rider Haggard, H.	She	1887	Fiction-Novel	Male	White	Britain	180421
160	mdp.39015008178132	0.46733668341708245	1.6252451135969994	Lewis, Wyndham	Snooty Baronet	1932	Fiction-Novel	Male	White	Other	145803
144	mdp.39015005041283	0.46666666666666756	0.6261122281814866	Chesterton, G. K.	The Wisdom of Father Brown	1912	Fiction-Novel	Male	White	Britain	85584
6	coo.31924008035770	0.4647887323943663	0.696237567711347	Wilde, Oscar	The Happy Prince and Other Tales	1888	Fiction-Stories	Male	White	Ireland	60716
302	mdp.49015000920166	0.4626865671641795	0.43001030752436875	Bowen, Elizabeth	The Hotel	1927	Fiction-Novel	Female	White	Ireland	92768
219	mdp.39015030724986	0.4626865671641791	0.552609143037121	Chesterton, G. K.	Tales of the Long Bow	1925	Fiction-Stories	Male	White	Britain	72187
230	mdp.39015031234613	0.46153846153846145	0.15152567190168512	Hartley, Leslie Poles	Night Fears, and Other Stories	1924	Fiction-Stories	Male	White	Britain	51081
200	mdp.39015018629371	0.4601769911504423	0.6729398634194359	West, Rebecca	Harriet Hume	1929	Fiction-Novel	Female	White	Ireland	99978
432	uc1.32106001997508	0.45000000000000184	0.585445728866265	Lewis, Wyndham	The Revenge for Love	1937	Fiction-Novel	Male	White	Other	162718
145	mdp.39015005095529	0.44736842105263114	4.582547951976946	Macaulay, Rose	And No Man's Wit	1940	Fiction-Novel	Female	White	Britain	138241
255	mdp.39015053037431	0.4468784227820372	2.148610348001191	Conrad, Joseph	Nostromo: A Tale of the Seabord	1904	Fiction-Novel	Male	White	Europe	252997
405	uc1.$b285105	0.4468085106382979	1.331749027707935	Munro, Hector Hugh	Reginald	1904	Fiction-Novel	Male	White	South Asia	42025
50	hvd.hwpatg	0.4449760765550278	2.041167526975058	Wells, H. G.	The Passionate Friends	1913	Fiction-Novel	Male	White	Britain	121927
165	mdp.39015008568647	0.44270833333333554	1.3708650988930575	Wells, H. G.	The Holy Terror	1939	Fiction-Novel	Male	White	Britain	166778
39	hvd.32044018987289	0.4390243902439028	0.27779898849021517	Maugham, William Somerset	The Hero	1901	Fiction-Novel	Male	White	Britain	87873
541	uc2.ark:/13960/t3zs2w44g	0.4390243902439027	0.4525337952208941	Wells, H. G.	The Undying Fire	1919	Fiction-Novel	Male	White	Britain	53943
389	uc1.$b242750	0.43750000000000017	0.29609933362238305	Douglas, Norman [George]	In the Beginning	1927	Fiction-Novel	Male	White	Europe	64345
317	mdp.49015001441162	0.4366197183098593	0.6548383174087352	Schreiner, Olive	The Story of an African Farm	1883	Fiction-Novel	Female	White	Sub-Saharan Africa	129109
62	inu.30000081529376	0.43568464730290707	1.4055032094178372	Waugh, Evelyn	A Handful of Dust	1934	Fiction-Novel	Male	White	Britain	102091
307	mdp.49015000993841	0.4294478527607366	1.058559457615808	Maugham, William Somerset	The Casuarina Tree: Six Stories	1926	Fiction-Stories	Male	White	Britain	91680
398	uc1.$b244479	0.42857142857142877	0.9877643352137215	Richardson, Dorothy	Oberland	1927	Fiction-Novel	Female	White	Britain	46413
466	uc1.b3209748	0.42156862745098034	0.5655604469632055	Lawrence, D. H.	The Ladybird; The Fox; The Captain's Doll	1923	Fiction-Stories	Male	White	Britain	107380
136	mdp.39015003681684	0.4117647058823512	1.529246672725835	Galsworthy, John	Tatterdemalion	1920	Fiction-Stories	Male	White	Britain	92662
298	mdp.39076005394908	0.4098910310142498	4.05302906046816	Wells, H. G.	The Shape of Things to Come	1933	Fiction-Novel	Male	White	Britain	175252
535	uc2.ark:/13960/t1cj8gv9c	0.4096385542168675	0.6704216740973097	Conrad, Joseph	Within the Tides: Tales	1915	Fiction-Stories	Male	White	Europe	73711
431	uc1.32106001994984	0.40209790209790286	1.5955793388463335	Lawrence, D. H.	The Plumed Serpent	1926	Fiction-Novel	Male	White	Britain	213442
20	coo.31924014172187	0.39999999999999997	0.3905739885760842	Woolf, Virginia	Kew Gardens	1919	Fiction-Stories	Female	White	Britain	22866
474	uc1.b3759961	0.39999999999999997	0.3086366638252982	Wells, H. G.	The Croquet Player: A Story	1937	Fiction-Novel	Male	White	Britain	19291
399	uc1.$b244725	0.396551724137931	0.7726468276447	Macaulay, Rose	Crewe Train	1926	Fiction-Novel	Female	White	Britain	89388
503	uc1.b4082740	0.39215686274509826	0.3276462125842129	Woolf, Virginia	The Voyage Out	1915	Fiction-Novel	Female	White	Britain	185352
518	uc1.b4097966	0.38961038961038996	0.5100304392211826	Bagnold, Enid	National Velvet	1935	Fiction-Novel	Female	White	Britain	89887
424	uc1.32106001949889	0.382530120481928	2.666691058779337	Rolfe, Frederick	Hadrian the Seventh: A Romance	1904	Fiction-Novel	Male	White	Britain	148251
523	uc1.b4585024	0.3806228373702413	1.0867269325079334	Wells, H. G.	Babes in the Darkling Wood	1940	Fiction-Novel	Male	White	Britain	158336
439	uc1.32106006215591	0.365269461077845	0.3470867732753358	Woolf, Virginia	The Waves	1931	Fiction-Novel	Female	White	Britain	286471
460	uc1.32106017680692	0.3636363636363636	0.6328030728885836	Woolf, Virginia	Orlando	1928	Fiction-Novel	Female	White	Britain	93147
371	pst.000032609981	0.3615819209039537	1.210867323614452	Maugham, William Somerset	The Painted Veil	1925	Fiction-Novel	Male	White	Britain	87032
454	uc1.32106014703547	0.3589341692789971	2.057230865885389	Lawrence, D. H.	Kangaroo	1923	Fiction-Novel	Male	White	Britain	184646
473	uc1.b3759957	0.35783365570599507	3.148187089795481	Wells, H. G.	The Autocracy of Mr. Parham	1930	Fiction-Novel	Male	White	Britain	97776
37	hvd.32044011328713	0.34999999999999976	0.2960744862803069	Lawrence, D. H.	England, My England	1922	Fiction-Stories	Male	White	Britain	80438
241	mdp.39015040661087	0.33572710951525914	2.4354856934445124	Forster, E. M.	A Passage to India	1924	Fiction-Novel	Male	White	Britain	136167
561	umn.31951002059229q	0.33333333333333337	1.3792841425144	Powys, Theodore Francis	A Stubborn Tree	1926	Fiction-Stories	Male	White	Britain	2590
339	osu.32435017894775	0.3160690571049125	2.7454174444957156	Wells, H. G.	Mr. Britling Sees it Through	1916	Fiction-Novel	Male	White	Britain	163301
404	uc1.$b284297	0.30414746543778814	4.637467495916299	Galsworthy, John	Villa Rubein: A Novel	1900	Fiction-Novel	Male	White	Britain	55720
392	uc1.$b244157	0.30000000000000016	0.4844581468574695	Powys, Theodore Francis	Innocent Birds	1926	Fiction-Novel	Male	White	Britain	73739
190	mdp.39015013962207	0.2972972972972972	0.5696711075072515	Woolf, Virginia	Mrs Dalloway	1925	Fiction-Novel	Female	White	Britain	77341
208	mdp.39015022200417	0.2578125	0.7084693361320901	Macaulay, Rose	Orphan Island	1925	Fiction-Novel	Female	White	Britain	107570
24	coo1.ark:/13960/t05x2w944	0.25	0.4116435835695326	Woolf, Virginia	Monday or Tuesday	1921	Fiction-Stories	Female	White	Britain	23142
266	mdp.39015058011787	0.23966942148760323	0.43767844405824613	Woolf, Virginia	The Years	1937	Fiction-Novel	Female	White	Britain	164601
499	uc1.b3865736	0.23560209424083783	1.2829096674647225	Williams, Charles	Shadows of Ecstasy	1933	Fiction-Novel	Male	White	Britain	88642
550	uc2.ark:/13960/t9g450491	0.19999999999999998	0.30109790036683665	Galsworthy, John	Awakening	1920	Fiction-Stories	Male	White	Britain	9887
409	uc1.$b439708	0.16216216216216214	0.5035767055927208	Bowen, Elizabeth	Encounters	1925	Fiction-Stories	Female	White	Ireland	43746
113	mdp.39015002311556	0.14062500000000003	0.38901333541458144	Burnett, Frances Hodgston	The Secret Garden	1911	Fiction-Novel	Female	White	Britain	97953
158	mdp.39015008044854	0.04934210526315788	1.5455325324551614	Compton-Burnett, Ivy	Daughters and Sons	1937	Fiction-Novel	Female	White	Britain	117111
